epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0866,1.21702,2.49575,1.43543,0.48944,0.61086,0.49611,0.30844,1.07804,3.05125,1.37312,0.00046412,0.00046412,0.00046412
2,183.576,1.34619,2.09869,1.51656,0.67844,0.49281,0.41839,0.23323,1.31242,2.7573,1.67633,0.000921832,0.000921832,0.000921832
3,274.241,1.44179,2.05719,1.55986,0.54309,0.27584,0.19117,0.10923,1.52138,2.67729,1.95943,0.00136068,0.00136068,0.00136068
4,364.597,1.45874,2.01439,1.57073,0.73602,0.28752,0.33805,0.16474,1.58798,3.53874,2.0679,0.00134412,0.00134412,0.00134412
5,454.834,1.45457,1.92041,1.58121,0.84391,0.44733,0.48786,0.24523,1.49507,2.44398,1.7684,0.00131582,0.00131582,0.00131582
6,546.125,1.45264,1.90746,1.58121,0.70778,0.40353,0.39157,0.24005,1.25821,2.1827,1.56384,0.00128753,0.00128753,0.00128753
7,635.599,1.39172,1.77957,1.53696,0.84151,0.38975,0.46779,0.27538,1.33065,1.83638,1.65166,0.00125923,0.00125923,0.00125923
8,725.687,1.41143,1.82441,1.54702,0.85228,0.50248,0.50182,0.30311,1.31773,1.74227,1.68135,0.00123094,0.00123094,0.00123094
9,816.174,1.37706,1.68923,1.52043,0.78798,0.43056,0.45925,0.27157,1.18771,1.90847,1.51988,0.00120265,0.00120265,0.00120265
10,910.166,1.37512,1.61017,1.52763,0.87746,0.46627,0.52426,0.32021,1.28735,1.36316,1.58732,0.00117435,0.00117435,0.00117435
11,1002.45,1.31964,1.53554,1.50435,0.89665,0.52307,0.56402,0.34847,1.22414,1.27075,1.53083,0.00114606,0.00114606,0.00114606
12,1093.42,1.32891,1.5195,1.49599,0.8747,0.47936,0.50796,0.31811,1.24635,1.37395,1.57352,0.00111776,0.00111776,0.00111776
13,1183.92,1.37937,1.56728,1.55534,0.86541,0.51761,0.54997,0.3151,1.35472,1.39188,1.64568,0.00108947,0.00108947,0.00108947
14,1274.81,1.34272,1.47144,1.49885,0.91515,0.53902,0.56757,0.35088,1.13606,1.26307,1.48726,0.00106118,0.00106118,0.00106118
15,1364.76,1.29146,1.46227,1.47429,0.85085,0.53776,0.53247,0.3437,1.12419,1.14813,1.44959,0.00103288,0.00103288,0.00103288
16,1456.27,1.28907,1.4888,1.47189,0.9003,0.54569,0.5857,0.39359,1.09623,1.08365,1.45531,0.00100459,0.00100459,0.00100459
17,1547.78,1.25815,1.34158,1.43663,0.86297,0.53649,0.55111,0.34039,1.22034,1.18136,1.47077,0.000976293,0.000976293,0.000976293
18,1639.81,1.21706,1.31825,1.43064,0.9011,0.51916,0.58985,0.38167,1.1965,1.02949,1.50187,0.000947999,0.000947999,0.000947999
19,1731.86,1.17914,1.2842,1.39435,0.92048,0.53936,0.57254,0.36168,1.19371,1.04055,1.50944,0.000919704,0.000919704,0.000919704
20,1823.14,1.21677,1.26279,1.41559,0.91083,0.52396,0.58257,0.35914,1.24741,1.06274,1.56927,0.00089141,0.00089141,0.00089141
21,1914.98,1.23797,1.29608,1.43012,0.86572,0.56628,0.57357,0.36795,1.15328,1.09511,1.45484,0.000863116,0.000863116,0.000863116
22,2009.33,1.17597,1.23977,1.37588,0.87294,0.52923,0.55574,0.36187,1.13875,1.10511,1.4233,0.000834822,0.000834822,0.000834822
23,2101.45,1.1639,1.18048,1.38272,0.93334,0.51438,0.5858,0.38519,1.16321,1.08259,1.49056,0.000806528,0.000806528,0.000806528
24,2192.95,1.13967,1.15111,1.34565,0.93441,0.57519,0.60066,0.38017,1.16934,0.97974,1.41651,0.000778233,0.000778233,0.000778233
25,2283.57,1.12997,1.10989,1.35705,0.89972,0.57391,0.58804,0.38435,1.10677,0.98284,1.42747,0.000749939,0.000749939,0.000749939
26,2373.33,1.11968,1.1082,1.34418,0.92266,0.5316,0.59889,0.39772,1.0853,0.95596,1.4218,0.000721645,0.000721645,0.000721645
27,2462.91,1.08224,1.08255,1.32288,0.895,0.59167,0.59405,0.38036,1.1242,0.97572,1.46524,0.000693351,0.000693351,0.000693351
28,2552.38,1.08715,1.09559,1.32611,0.93484,0.566,0.61061,0.41147,1.0353,0.90702,1.36811,0.000665057,0.000665057,0.000665057
29,2641.74,1.0671,1.02774,1.30704,0.8991,0.58011,0.58844,0.39604,1.02555,0.9332,1.3449,0.000636762,0.000636762,0.000636762
30,2730.78,1.08691,1.03573,1.31322,0.92833,0.56076,0.59862,0.39528,1.08998,0.89505,1.45707,0.000608468,0.000608468,0.000608468
31,2820.7,1.03814,1.00148,1.29637,0.93793,0.60176,0.61436,0.40562,1.0473,0.85144,1.34777,0.000580174,0.000580174,0.000580174
32,2910.77,1.01532,0.95298,1.26015,0.931,0.58434,0.59509,0.4066,0.98628,0.81139,1.32064,0.00055188,0.00055188,0.00055188
33,3000.3,1.02726,0.98849,1.26986,0.62312,0.57837,0.61362,0.40781,1.01522,0.82138,1.37513,0.000523586,0.000523586,0.000523586
34,3091.55,1.00782,0.95641,1.26704,0.94721,0.55508,0.59232,0.39761,0.94967,0.8729,1.32972,0.000495291,0.000495291,0.000495291
35,3181.49,0.96254,0.92191,1.24251,0.60674,0.5729,0.61336,0.41754,0.96432,0.8302,1.33685,0.000466997,0.000466997,0.000466997
36,3271.65,1.00346,0.91691,1.26552,0.92507,0.56482,0.5958,0.41784,0.9322,0.81869,1.32318,0.000438703,0.000438703,0.000438703
37,3362.06,0.96841,0.87518,1.24702,0.55991,0.57078,0.58644,0.41018,0.96821,0.81897,1.35375,0.000410409,0.000410409,0.000410409
38,3451.63,0.95979,0.88039,1.23566,0.62465,0.57134,0.61271,0.42026,0.9654,0.77847,1.32323,0.000382115,0.000382115,0.000382115
39,3541.82,0.94486,0.86279,1.22579,0.59821,0.58705,0.60446,0.41674,0.95029,0.77593,1.3245,0.00035382,0.00035382,0.00035382
40,3631.27,0.94475,0.86268,1.23184,0.59951,0.57985,0.59421,0.40833,0.98668,0.7795,1.39568,0.000325526,0.000325526,0.000325526
41,3724.15,0.85771,0.8052,1.18688,0.94906,0.5646,0.60447,0.4049,1.0257,0.83419,1.37361,0.000297232,0.000297232,0.000297232
42,3812.02,0.83474,0.70552,1.17315,0.9568,0.58325,0.61588,0.4175,0.95803,0.81038,1.31277,0.000268938,0.000268938,0.000268938
43,3901.33,0.82035,0.6868,1.18148,0.97139,0.56515,0.60981,0.42113,0.93588,0.79365,1.31237,0.000240644,0.000240644,0.000240644
44,3990.92,0.79866,0.6688,1.14776,0.95255,0.58782,0.60942,0.42874,0.90983,0.76807,1.30607,0.000212349,0.000212349,0.000212349
45,4078.83,0.77874,0.63378,1.15725,0.94332,0.59616,0.61094,0.43192,0.90422,0.7318,1.31332,0.000184055,0.000184055,0.000184055
46,4166.72,0.74642,0.61376,1.12202,0.94326,0.58805,0.60133,0.43088,0.94242,0.72846,1.38581,0.000155761,0.000155761,0.000155761
47,4253.74,0.74422,0.59842,1.11899,0.92146,0.59846,0.60613,0.42676,0.99833,0.73454,1.40727,0.000127467,0.000127467,0.000127467
48,4340.89,0.75078,0.59834,1.11845,0.93893,0.60062,0.60721,0.43521,0.95465,0.73063,1.36532,9.91726e-05,9.91726e-05,9.91726e-05
49,4428.07,0.73292,0.58652,1.11159,0.91801,0.60408,0.6028,0.43408,0.92037,0.70897,1.32054,7.08784e-05,7.08784e-05,7.08784e-05
50,4520.38,0.71119,0.57004,1.09159,0.93561,0.61156,0.60978,0.44042,0.90579,0.72294,1.31021,4.25842e-05,4.25842e-05,4.25842e-05
